transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime,is_suspicious,risk_category,suspicious_detection_count,high_risk_detected,reasons,resolved
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03T13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,True,True,,,True,True,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,True,20/10/2023,19/10/2024,True,True,True,TAX,Movement success popular senior whole buy similar.,False,False,High,True,match,False,True,True,0.0,1,potential,,,1,HIGH PRIORITY RISK,1,1,Customer is a Politically Exposed Person (PEP); Sanctions screening shows potential match,False
e8db37cf-2a87-404b-af55-bc48ed06a1e1,SG,MAS,2025-01-26T12:14:06,26/1/2025,1246895.32,HKD,FPS (HK),fund_subscription,Jimmy Hart,GB37PMHN24174670808707,RU,Michael White,GB72ISXP89877669817370,RU,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-351699,domiciliary_company,Medium,False,25/3/2024,25/3/2026,False,True,True,INV,Democratic and street heavy foreign become member north pick.,False,True,High,True,match,False,True,True,0.0,1,potential,,,1,MEDIUM RISK,3,0,Customer type is domiciliary company; Customer risk rating is Medium; Sanctions screening shows potential match,False
5a5ba79d-09f6-46ba-bc74-e715f721ec34,CH,FINMA,2024-10-29T23:23:38,29/10/2024,20000.0,CHF,FPS (HK),cash_deposit,Johnathan Arroyo,GB87LHNX15336217030570,CN,Thomas Thomas,GB53PNBY13656877808614,VN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-352944,domiciliary_company,Low,False,10/4/2021,10/4/2022,False,True,True,GDS,Hope letter production wind special discuss boy man black audience.,False,False,Low,True,match,False,True,False,0.0,1,none,,,1,HIGH PRIORITY RISK,1,1,Cash ID not verified; Customer type is domiciliary company,False
db78512e-524f-41df-ae9c-d254556670f9,CH,FINMA,2024-10-31T20:04:17,31/10/2024,10238.77,JPY,Cash,cash_deposit,Joel Lee,GB74FECV89302934898235,CN,Austin Thomas,GB02DFXV28349051210823,CN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-956783,domiciliary_company,Medium,False,5/11/2019,4/11/2020,False,True,True,MED,Expect walk simple focus fall.,False,False,Low,True,match,False,True,False,30496.46,5,potential,2024-11-01T00:04:17,2024-11-01T06:04:17,1,HIGH PRIORITY RISK,3,1,Cash ID not verified; Customer type is domiciliary company; Customer risk rating is Medium; Sanctions screening shows potential match,False
64bb8290-aa28-4e81-9f62-e32a84a609f8,HK,HKMA/SFC,2024-09-17T18:24:16,17/9/2024,16571.13,CHF,Cash,cash_deposit,Mr. Benjamin Cox II,GB97NVCX37168651798962,AU,Kimberly James,GB14UGGH54357205828956,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-863436,domiciliary_company,High,False,24/7/2021,24/7/2022,True,True,True,GDS,Kitchen spring area laugh film.,False,False,Balanced,True,match,False,True,True,16571.13,1,none,,,1,LOW RISK,2,0,Customer type is domiciliary company; Customer risk rating is High,False
015e2202-1c97-4f0f-9756-2c8fc85e7ac9,SG,MAS,2025-04-03T00:46:51,3/4/2025,1267232.73,JPY,SWIFT,fx_conversion,Jennifer Miller,GB55RJLD30524097771026,JP,Justin Bryant,GB97TCRH80003638403916,VN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-110107,individual,High,True,14/12/2023,11/6/2024,True,True,True,EDU,Reason offer discover service.,False,False,High,True,match,False,True,True,0.0,1,potential,,,1,HIGH PRIORITY RISK,2,1,Customer is a Politically Exposed Person (PEP); Customer risk rating is High; Sanctions screening shows potential match,False
01572a13-834c-4119-8463-cfbcb36f50a3,SG,MAS,2024-03-24T22:37:35,24/3/2024,34286.48,CNY,Cash,cash_deposit,Kathleen Wright,GB58PZCL78058093635940,CN,Tammy Wood,GB60ZGJC31113250234479,JP,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-413307,corporate,High,False,7/10/2022,7/10/2023,True,False,True,GDS,Police should statement big hotel whether.,False,False,Balanced,True,match,False,True,True,34286.48,1,none,,,1,HIGH PRIORITY RISK,1,1,EDD required but not performed; Customer risk rating is High,False
0f03f53b-7e05-4479-8375-018720c4760a,SG,MAS,2025-09-14T19:40:33,14/9/2025,439477.04,HKD,FPS (HK),wire_transfer,Steve Chapman,GB74NLIG64717417015559,JP,Faith Allen,GB68LBCR70420180233964,TH,MT103,,,True,True,,,False,False,,,0.0,0.0,0,,CUST-935585,domiciliary_company,High,False,18/11/2023,17/11/2025,True,False,True,MED,Article keep news education a information color available.,False,True,Balanced,True,match,False,True,True,0.0,1,potential,,,1,HIGH PRIORITY RISK,4,1,Domiciliary company without Enhanced Due Diligence (EDD); EDD required but not performed; MAS: Domiciliary company without EDD (AML violation); Customer type is domiciliary company; Customer risk rating is High; Sanctions screening shows potential match,False
6f7f8134-ea1c-434f-a98d-3f5e38d81833,HK,HKMA/SFC,2024-10-18T21:52:39,18/10/2024,1476760.69,GBP,SEPA,fx_conversion,Megan Gardner,GB04OMOX32727318267249,VN,Michele Caldwell,GB14SOEZ74175521707622,US,,,,True,True,,,True,True,USD,JPY,0.729999,0.729634,5,Wong Group,CUST-251464,corporate,High,False,29/5/2022,25/11/2022,True,False,True,SAL,Catch police tree contain care doctor girl above.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,1,HIGH PRIORITY RISK,2,1,EDD required but not performed; Customer risk rating is High; Sanctions screening shows potential match,False
408eabd3-e0c1-4ac2-a10e-8867312e8b7a,CH,FINMA,2024-04-09T02:24:01,9/4/2024,22958.44,SGD,Cheque,wire_transfer,Robert Smith,GB39YSFE73806535431410,DE,Kenneth Guerrero,GB87XUCX39482691694495,FR,MT103,BJADYBKU,JZMMEPYL,True,True,Sign challenge until network represent tend.,SHA,True,False,,,0.0,0.0,0,,CUST-856540,domiciliary_company,Low,True,24/3/2023,23/3/2025,True,False,True,FAM,Large its allow writer hair several easy know behind speech.,False,False,Low,True,match,False,True,True,0.0,1,none,,,1,HIGH PRIORITY RISK,1,1,Customer is a Politically Exposed Person (PEP); Domiciliary company without Enhanced Due Diligence (EDD); EDD required but not performed; Customer type is domiciliary company,False
